,Value €M,Mins,Rating
Brad Stuver,0.8,3060.0,6.75
Matt Bersano,0.15,0.0,0.0
Damian Las,0.1,0.0,0.0
Leo Väisänen,2.5,1763.0,6.64
Julio Cesar Cascante,2.0,2065.0,6.77
Matt Hedges,0.5,306.0,6.48
Brandon Craig,0.4,0.0,0.0
Kipp Keller,0.2,436.0,6.16
Adam Lundqvist,1.0,854.0,6.37
Zan Kolmanic,1.0,432.0,6.89
Charlie Asensio,0.075,0.0,0.0
Jon Gallagher,2.0,2793.0,6.64
Nick Lima,2.0,2419.0,6.6
Hector Jimenez,0.2,51.0,6.13
Jhojan Valencia,1.0,1435.0,6.48
Daniel Pereira,2.5,2530.0,6.73
Owen Wolff,2.5,1885.0,6.55
Alexander Ring,1.8,2157.0,6.62
Sofiane Djeffal,0.75,312.0,6.45
Memo Rodriguez,1.5,236.0,6.26
Sebastian Driussi,15.0,2311.0,7.21
CJ Fodrey,0.075,29.0,6.24
Emiliano Rigoni,3.0,2200.0,6.67
Rodney Redes,0.8,484.0,6.24
Ethan Finlay,0.6,1700.0,6.43
Gyasi Zardes,1.8,1474.0,6.58
Maxi Urruti,1.5,970.0,6.2
Alfonso Ocampo-Chávez,0.4,0.0,0.0
Will Bruin,0.25,335.0,6.18
